страница,скоуп,исполнитель,статус,блоков,блоков_с_методом,блоков_с_Go,методы
api-reference/booking/booking/external-data/booking-v1-booking-externaldata-unset.md,booking,Владимир,ожидает,1,1,0,booking.v1.booking.externalData.unset
api-reference/booking/booking-v1-clienttype-list.md,booking,Владимир,ожидает,1,1,0,booking.v1.clienttype.list
api-reference/booking/resource/booking-v1-resource-add.md,booking,Владимир,ожидает,1,1,0,booking.v1.resource.add
api-reference/booking/resource/booking-v1-resource-delete.md,booking,Владимир,ожидает,1,1,0,booking.v1.resource.delete
api-reference/booking/resource/booking-v1-resource-get.md,booking,Владимир,ожидает,1,1,0,booking.v1.resource.get
api-reference/booking/resource/booking-v1-resource-list.md,booking,Владимир,ожидает,1,1,0,booking.v1.resource.list
api-reference/booking/resource/booking-v1-resource-update.md,booking,Владимир,ожидает,1,1,0,booking.v1.resource.update
api-reference/booking/resource/resource-type/booking-v1-resourcetype-add.md,booking,Владимир,ожидает,1,1,0,booking.v1.resourceType.add
api-reference/booking/resource/resource-type/booking-v1-resourcetype-delete.md,booking,Владимир,ожидает,1,1,0,booking.v1.resourceType.delete
api-reference/booking/resource/resource-type/booking-v1-resourcetype-get.md,booking,Владимир,ожидает,1,1,0,booking.v1.resourceType.get
api-reference/booking/resource/resource-type/booking-v1-resourcetype-list.md,booking,Владимир,ожидает,1,1,0,booking.v1.resourceType.list
api-reference/booking/resource/resource-type/booking-v1-resourcetype-update.md,booking,Владимир,ожидает,1,1,0,booking.v1.resourceType.update
api-reference/booking/resource/slots/booking-v1-resource-slots-list.md,booking,Владимир,ожидает,1,1,0,booking.v1.resource.slots.list
api-reference/booking/resource/slots/booking-v1-resource-slots-set.md,booking,Владимир,ожидает,1,1,0,booking.v1.resource.slots.set
api-reference/booking/resource/slots/booking-v1-resource-slots-unset.md,booking,Владимир,ожидает,1,1,0,booking.v1.resource.slots.unset
api-reference/booking/waitlist/booking-v1-waitlist-add.md,booking,Владимир,ожидает,1,1,0,booking.v1.waitlist.add
api-reference/booking/waitlist/booking-v1-waitlist-createfrombooking.md,booking,Владимир,ожидает,1,1,0,booking.v1.waitlist.createfrombooking
api-reference/booking/waitlist/booking-v1-waitlist-delete.md,booking,Владимир,ожидает,1,1,0,booking.v1.waitlist.delete
api-reference/booking/waitlist/booking-v1-waitlist-get.md,booking,Владимир,ожидает,1,1,0,booking.v1.waitlist.get
api-reference/booking/waitlist/booking-v1-waitlist-list.md,booking,Владимир,ожидает,1,1,0,booking.v1.waitlist.list
api-reference/booking/waitlist/booking-v1-waitlist-update.md,booking,Владимир,ожидает,1,1,0,booking.v1.waitlist.update
api-reference/booking/waitlist/client/booking-v1-waitlist-client-list.md,booking,Владимир,ожидает,1,1,0,booking.v1.waitlist.client.list
api-reference/booking/waitlist/client/booking-v1-waitlist-client-set.md,booking,Владимир,ожидает,1,1,0,booking.v1.waitlist.client.set
api-reference/booking/waitlist/client/booking-v1-waitlist-client-unset.md,booking,Владимир,ожидает,1,1,0,booking.v1.waitlist.client.unset
api-reference/booking/waitlist/external-data/booking-v1-waitlist-externaldata-list.md,booking,Владимир,ожидает,1,1,0,booking.v1.waitlist.externalData.list
api-reference/booking/waitlist/external-data/booking-v1-waitlist-externaldata-set.md,booking,Владимир,ожидает,1,1,0,booking.v1.waitlist.externalData.set
api-reference/booking/waitlist/external-data/booking-v1-waitlist-externaldata-unset.md,booking,Владимир,ожидает,1,1,0,booking.v1.waitlist.externalData.unset
api-reference/calendar/calendar-event/calendar-accessibility-get.md,calendar,Владимир,ожидает,1,1,0,calendar.accessibility.get
api-reference/calendar/calendar-event/calendar-event-add.md,calendar,Владимир,ожидает,2,2,0,calendar.event.add
api-reference/calendar/calendar-event/calendar-event-delete.md,calendar,Владимир,ожидает,1,1,0,calendar.event.delete
api-reference/calendar/calendar-event/calendar-event-get-by-id.md,calendar,Владимир,ожидает,1,1,0,calendar.event.getbyid
api-reference/calendar/calendar-event/calendar-event-update.md,calendar,Владимир,ожидает,1,1,0,calendar.event.update
api-reference/calendar/calendar-event/calendar-meeting-status-get.md,calendar,Владимир,ожидает,1,1,0,calendar.meeting.status.get
api-reference/calendar/calendar-event/calendar-meeting-status-set.md,calendar,Владимир,ожидает,1,1,0,calendar.meeting.status.set
api-reference/calendar/calendar-grid-view.md,calendar,Владимир,нужен разбор вручную,2,0,0,
api-reference/calendar/calendar-section-add.md,calendar,Владимир,ожидает,1,1,0,calendar.section.add
api-reference/calendar/calendar-section-delete.md,calendar,Владимир,ожидает,1,1,0,calendar.section.delete
api-reference/calendar/calendar-section-get.md,calendar,Владимир,ожидает,1,1,0,calendar.section.get
api-reference/calendar/calendar-section-update.md,calendar,Владимир,ожидает,1,1,0,calendar.section.update
api-reference/calendar/calendar-settings-get.md,calendar,Владимир,ожидает,1,1,0,calendar.settings.get
